freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.007e+00,5.678e+00,2.477e+01,3.546e+01
1.5,2.216e+01,2.376e+01,6.857e+01,1.145e+02
3.1,2.557e+01,2.839e+01,7.715e+01,1.311e+02
4.6,2.653e+01,2.855e+01,3.092e+02,3.642e+02
6.1,2.690e+01,2.804e+01,9.162e+02,9.711e+02
7.7,2.545e+01,2.851e+01,1.339e+03,1.393e+03
9.2,2.523e+01,3.454e+01,1.501e+03,1.561e+03
10.8,2.672e+01,2.727e+01,1.492e+03,1.546e+03
12.3,2.938e+01,2.691e+01,1.526e+03,1.582e+03
13.8,2.957e+01,2.598e+01,1.546e+03,1.602e+03
15.4,2.863e+01,2.571e+01,1.593e+03,1.648e+03
16.9,2.615e+01,2.912e+01,1.690e+03,1.745e+03
18.4,2.771e+01,3.182e+01,1.663e+03,1.723e+03
20.0,3.167e+01,3.215e+01,1.507e+03,1.571e+03
21.5,3.305e+01,3.302e+01,1.373e+03,1.439e+03
23.0,3.168e+01,3.145e+01,1.267e+03,1.330e+03
24.6,3.108e+01,3.058e+01,1.159e+03,1.220e+03
26.1,3.454e+01,3.409e+01,1.102e+03,1.171e+03
27.6,3.570e+01,3.445e+01,1.084e+03,1.154e+03
29.2,3.948e+01,3.577e+01,1.082e+03,1.157e+03
30.7,3.962e+01,3.696e+01,1.079e+03,1.156e+03
32.3,3.659e+01,4.168e+01,1.102e+03,1.181e+03
33.8,3.923e+01,5.320e+01,1.177e+03,1.270e+03
35.3,4.379e+01,6.395e+01,1.244e+03,1.352e+03
36.9,5.022e+01,7.063e+01,1.333e+03,1.453e+03
38.4,6.688e+01,7.683e+01,1.440e+03,1.584e+03
39.9,8.390e+01,8.968e+01,1.477e+03,1.651e+03
41.5,1.178e+02,1.098e+02,1.509e+03,1.736e+03
43.0,1.506e+02,1.283e+02,1.697e+03,1.976e+03
44.5,1.973e+02,1.282e+02,1.911e+03,2.236e+03
46.1,2.621e+02,1.293e+02,2.129e+03,2.520e+03
47.6,2.516e+02,9.524e+01,2.164e+03,2.510e+03
49.1,2.172e+02,5.399e+01,2.025e+03,2.296e+03
50.7,1.877e+02,4.287e+01,2.204e+03,2.434e+03
52.2,1.371e+02,4.959e+01,2.681e+03,2.867e+03
53.8,1.460e+02,8.756e+01,3.083e+03,3.317e+03
55.3,2.606e+02,1.138e+02,2.972e+03,3.346e+03
56.8,3.889e+02,1.306e+02,3.010e+03,3.530e+03
58.4,3.838e+02,1.398e+02,3.587e+03,4.111e+03
59.9,2.898e+02,1.686e+02,4.627e+03,5.086e+03
61.4,3.027e+02,2.554e+02,6.255e+03,6.813e+03
63.0,4.844e+02,4.577e+02,7.947e+03,8.889e+03
64.5,6.972e+02,6.162e+02,9.729e+03,1.104e+04
66.0,7.309e+02,5.804e+02,1.246e+04,1.377e+04
67.6,5.736e+02,4.658e+02,1.270e+04,1.374e+04
69.1,3.507e+02,3.825e+02,8.816e+03,9.549e+03
70.6,2.218e+02,3.920e+02,5.453e+03,6.067e+03
72.2,1.632e+02,5.544e+02,2.668e+03,3.386e+03
73.7,2.358e+02,8.551e+02,1.360e+03,2.451e+03
75.3,3.905e+02,1.048e+03,1.027e+03,2.465e+03
76.8,3.745e+02,1.008e+03,1.243e+03,2.626e+03
78.3,3.822e+02,1.002e+03,1.052e+03,2.436e+03
79.9,1.186e+03,1.567e+03,1.181e+03,3.933e+03
81.4,6.015e+03,1.113e+04,2.984e+03,2.013e+04
82.9,9.666e+03,3.943e+04,4.846e+03,5.394e+04
84.5,2.906e+03,1.289e+04,1.720e+03,1.752e+04
86.0,9.305e+01,6.613e+02,4.086e+02,1.163e+03
87.5,6.694e+01,5.962e+02,4.159e+02,1.079e+03
89.1,7.282e+01,6.269e+02,4.899e+02,1.190e+03
90.6,6.983e+01,6.115e+02,6.026e+02,1.284e+03
92.2,8.315e+01,5.863e+02,8.121e+02,1.482e+03
93.7,1.056e+02,6.120e+02,1.053e+03,1.771e+03
95.2,1.083e+02,7.700e+02,1.348e+03,2.227e+03
96.8,1.076e+02,9.805e+02,1.583e+03,2.671e+03
98.3,9.916e+01,1.211e+03,1.813e+03,3.123e+03
99.8,1.209e+02,1.454e+03,2.345e+03,3.920e+03
101.4,1.419e+02,1.541e+03,2.149e+03,3.832e+03
102.9,1.668e+02,1.423e+03,2.271e+03,3.861e+03
104.4,1.611e+02,1.429e+03,2.638e+03,4.229e+03
106.0,1.573e+02,1.419e+03,2.987e+03,4.563e+03
107.5,1.433e+02,1.286e+03,3.237e+03,4.666e+03
109.0,1.668e+02,1.243e+03,4.182e+03,5.593e+03
110.6,1.833e+02,1.154e+03,3.996e+03,5.334e+03
112.1,1.410e+02,1.031e+03,3.471e+03,4.643e+03
113.7,1.424e+02,9.630e+02,3.133e+03,4.239e+03
115.2,1.376e+02,8.596e+02,2.217e+03,3.214e+03
116.7,1.460e+02,8.288e+02,2.661e+03,3.636e+03
118.3,1.803e+02,1.280e+03,4.763e+03,6.223e+03
119.8,1.302e+02,1.787e+03,5.052e+03,6.970e+03
121.3,1.495e+02,2.090e+03,4.894e+03,7.133e+03
122.9,2.646e+02,3.425e+03,5.022e+03,8.712e+03
124.4,4.981e+02,1.248e+04,6.916e+03,1.989e+04
125.9,3.354e+02,1.143e+04,6.837e+03,1.861e+04
127.5,2.120e+02,2.920e+03,4.461e+03,7.593e+03
129.0,3.730e+02,1.893e+03,3.099e+03,5.364e+03
130.5,4.765e+02,3.325e+03,2.378e+03,6.180e+03
132.1,1.897e+02,2.055e+03,1.490e+03,3.734e+03
133.6,8.809e+01,6.549e+02,5.052e+02,1.248e+03
135.2,7.945e+01,3.583e+02,2.170e+02,6.548e+02
136.7,9.349e+01,3.372e+02,2.491e+02,6.798e+02
138.2,1.144e+02,3.509e+02,2.793e+02,7.446e+02
139.8,1.202e+02,3.499e+02,2.920e+02,7.621e+02
141.3,1.384e+02,3.530e+02,2.823e+02,7.738e+02
142.8,1.547e+02,3.893e+02,3.093e+02,8.533e+02
144.4,1.916e+02,4.806e+02,3.243e+02,9.965e+02
145.9,2.191e+02,5.471e+02,3.015e+02,1.068e+03
147.4,2.533e+02,6.531e+02,3.192e+02,1.226e+03
149.0,3.146e+02,7.687e+02,3.257e+02,1.409e+03
150.5,3.882e+02,8.742e+02,2.964e+02,1.559e+03
152.1,4.819e+02,9.280e+02,2.529e+02,1.663e+03
153.6,6.007e+02,9.644e+02,2.238e+02,1.789e+03
155.1,7.714e+02,9.857e+02,2.094e+02,1.967e+03
156.7,9.938e+02,1.115e+03,1.868e+02,2.296e+03
158.2,1.151e+03,1.183e+03,1.575e+02,2.491e+03
159.7,1.153e+03,1.079e+03,1.283e+02,2.360e+03
161.3,1.064e+03,9.180e+02,1.199e+02,2.102e+03
162.8,9.945e+02,8.143e+02,1.335e+02,1.942e+03
164.3,9.403e+02,6.914e+02,1.490e+02,1.781e+03
165.9,8.456e+02,6.352e+02,1.566e+02,1.637e+03
167.4,7.077e+02,6.140e+02,1.606e+02,1.482e+03
168.9,5.973e+02,5.658e+02,1.605e+02,1.324e+03
170.5,5.685e+02,6.455e+02,1.690e+02,1.383e+03
172.0,5.966e+02,7.328e+02,1.878e+02,1.517e+03
173.6,5.830e+02,8.200e+02,2.172e+02,1.620e+03
175.1,5.586e+02,8.946e+02,2.378e+02,1.691e+03
176.6,5.660e+02,9.606e+02,2.690e+02,1.796e+03
178.2,6.238e+02,1.008e+03,3.098e+02,1.942e+03
179.7,7.088e+02,1.038e+03,3.519e+02,2.099e+03
181.2,7.177e+02,1.078e+03,3.737e+02,2.170e+03
182.8,7.394e+02,1.161e+03,4.094e+02,2.309e+03
184.3,7.642e+02,1.202e+03,4.305e+02,2.397e+03
185.8,7.777e+02,1.253e+03,4.491e+02,2.480e+03
187.4,7.588e+02,1.287e+03,4.903e+02,2.536e+03
188.9,7.320e+02,1.319e+03,5.279e+02,2.579e+03
190.4,7.798e+02,1.354e+03,5.619e+02,2.695e+03
192.0,8.377e+02,1.442e+03,6.407e+02,2.920e+03
193.5,9.455e+02,1.542e+03,8.019e+02,3.289e+03
195.1,1.004e+03,1.635e+03,9.595e+02,3.599e+03
196.6,1.019e+03,1.774e+03,1.028e+03,3.821e+03
