freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.073e+02,3.914e+02,1.151e+01,5.102e+02
1.5,8.125e+01,2.385e+02,5.186e+01,3.716e+02
3.1,2.434e+01,3.767e+01,6.021e+01,1.222e+02
4.6,2.505e+01,3.663e+02,6.077e+01,4.521e+02
6.1,2.555e+01,1.430e+03,6.296e+01,1.519e+03
7.7,2.767e+01,2.422e+03,8.534e+01,2.535e+03
9.2,2.624e+01,2.642e+03,8.566e+01,2.754e+03
10.7,2.535e+01,3.752e+03,6.974e+01,3.847e+03
12.3,2.809e+01,5.550e+03,6.764e+01,5.646e+03
13.8,3.008e+01,7.468e+03,6.849e+01,7.567e+03
15.4,3.047e+01,9.922e+03,6.810e+01,1.002e+04
16.9,3.423e+01,1.308e+04,6.973e+01,1.318e+04
18.4,6.175e+01,1.680e+04,6.970e+01,1.693e+04
20.0,1.068e+02,2.129e+04,6.627e+01,2.147e+04
21.5,1.207e+02,2.711e+04,7.475e+01,2.730e+04
23.0,2.287e+02,3.611e+04,8.294e+01,3.642e+04
24.6,5.675e+02,4.913e+04,9.730e+01,4.980e+04
26.1,7.094e+02,6.134e+04,9.812e+01,6.214e+04
27.6,6.024e+02,7.628e+04,7.507e+01,7.696e+04
29.2,1.569e+03,1.064e+05,6.014e+01,1.080e+05
30.7,3.023e+03,1.469e+05,6.484e+01,1.500e+05
32.2,6.929e+03,2.095e+05,7.395e+01,2.165e+05
33.8,2.211e+04,3.622e+05,9.360e+01,3.845e+05
35.3,6.905e+04,6.179e+05,2.148e+02,6.872e+05
36.8,1.128e+05,5.711e+05,3.070e+02,6.842e+05
38.4,1.118e+05,3.119e+05,3.215e+02,4.240e+05
39.9,1.000e+05,1.427e+05,3.355e+02,2.431e+05
41.4,9.531e+04,7.092e+04,3.392e+02,1.666e+05
43.0,1.018e+05,5.601e+04,3.297e+02,1.581e+05
44.5,1.274e+05,7.181e+04,2.106e+02,1.994e+05
46.1,1.686e+05,1.182e+05,1.011e+02,2.869e+05
47.6,2.517e+05,2.516e+05,1.161e+02,5.034e+05
49.1,3.635e+05,5.127e+05,2.500e+02,8.764e+05
50.7,3.549e+05,6.975e+05,3.154e+02,1.053e+06
52.2,2.669e+05,6.862e+05,1.391e+02,9.532e+05
53.7,2.212e+05,6.456e+05,1.224e+02,8.669e+05
55.3,1.976e+05,6.025e+05,4.258e+02,8.005e+05
56.8,1.593e+05,5.357e+05,7.941e+02,6.958e+05
58.3,1.273e+05,4.515e+05,7.798e+02,5.796e+05
59.9,9.598e+04,3.342e+05,8.259e+02,4.310e+05
61.4,6.492e+04,2.390e+05,1.613e+03,3.055e+05
62.9,4.223e+04,1.848e+05,2.679e+03,2.297e+05
64.5,3.126e+04,1.700e+05,3.088e+03,2.043e+05
66.0,2.954e+04,1.706e+05,3.062e+03,2.032e+05
67.5,2.961e+04,1.629e+05,2.809e+03,1.954e+05
69.1,3.092e+04,1.573e+05,2.221e+03,1.904e+05
70.6,3.913e+04,1.607e+05,1.404e+03,2.012e+05
72.2,4.769e+04,1.556e+05,5.969e+02,2.039e+05
73.7,4.574e+04,1.403e+05,3.890e+02,1.864e+05
75.2,3.986e+04,1.241e+05,4.607e+02,1.644e+05
76.8,3.551e+04,1.089e+05,5.159e+02,1.450e+05
78.3,3.124e+04,9.287e+04,5.302e+02,1.246e+05
79.8,2.779e+04,8.377e+04,6.183e+02,1.122e+05
81.4,2.552e+04,8.693e+04,1.388e+03,1.138e+05
82.9,2.542e+04,9.765e+04,3.321e+03,1.264e+05
84.4,1.776e+04,8.647e+04,1.323e+03,1.056e+05
86.0,1.515e+04,7.873e+04,5.429e+02,9.443e+04
87.5,1.329e+04,7.777e+04,5.800e+02,9.165e+04
89.0,1.108e+04,7.971e+04,5.986e+02,9.139e+04
90.6,8.193e+03,8.187e+04,7.000e+02,9.076e+04
92.1,5.786e+03,8.339e+04,7.528e+02,8.993e+04
93.6,3.971e+03,8.276e+04,6.379e+02,8.736e+04
95.2,2.341e+03,8.383e+04,8.913e+02,8.706e+04
96.7,1.741e+03,8.586e+04,1.572e+03,8.917e+04
98.2,1.840e+03,8.424e+04,1.978e+03,8.805e+04
99.8,2.086e+03,8.035e+04,2.301e+03,8.474e+04
101.3,2.556e+03,7.519e+04,2.604e+03,8.035e+04
102.9,2.922e+03,6.960e+04,2.966e+03,7.549e+04
104.4,3.254e+03,7.038e+04,3.003e+03,7.664e+04
105.9,3.594e+03,6.945e+04,2.483e+03,7.553e+04
107.5,3.978e+03,6.597e+04,2.269e+03,7.221e+04
109.0,3.711e+03,5.760e+04,1.979e+03,6.329e+04
110.5,3.062e+03,4.775e+04,1.742e+03,5.255e+04
112.1,2.616e+03,3.926e+04,1.546e+03,4.342e+04
113.6,3.547e+03,5.187e+04,9.522e+02,5.637e+04
115.1,3.743e+03,5.357e+04,5.625e+02,5.788e+04
116.7,3.708e+03,4.997e+04,4.693e+02,5.415e+04
118.2,3.597e+03,4.819e+04,4.034e+02,5.219e+04
119.7,3.293e+03,4.567e+04,3.342e+02,4.930e+04
121.3,2.985e+03,4.304e+04,2.846e+02,4.631e+04
122.8,2.877e+03,4.075e+04,2.851e+02,4.391e+04
124.3,2.742e+03,4.016e+04,3.430e+02,4.324e+04
125.9,2.622e+03,4.020e+04,4.569e+02,4.328e+04
127.4,2.764e+03,3.986e+04,5.313e+02,4.316e+04
129.0,3.014e+03,3.801e+04,4.956e+02,4.152e+04
130.5,3.241e+03,3.546e+04,4.340e+02,3.914e+04
132.0,3.251e+03,2.879e+04,5.078e+02,3.255e+04
133.6,1.334e+03,1.064e+04,4.059e+02,1.238e+04
135.1,2.614e+02,1.678e+03,4.292e+02,2.368e+03
136.6,3.526e+02,1.536e+03,5.846e+02,2.473e+03
138.2,4.894e+02,1.658e+03,6.912e+02,2.839e+03
139.7,5.148e+02,1.720e+03,7.325e+02,2.967e+03
141.2,4.720e+02,2.043e+03,7.264e+02,3.241e+03
142.8,4.412e+02,2.563e+03,7.480e+02,3.752e+03
144.3,4.652e+02,3.026e+03,8.204e+02,4.312e+03
145.8,7.056e+02,3.087e+03,8.056e+02,4.598e+03
147.4,9.691e+02,2.796e+03,8.726e+02,4.637e+03
148.9,9.957e+02,2.839e+03,1.125e+03,4.960e+03
150.4,8.172e+02,3.037e+03,1.279e+03,5.133e+03
152.0,6.553e+02,3.513e+03,1.382e+03,5.550e+03
153.5,5.430e+02,3.720e+03,1.437e+03,5.700e+03
155.0,4.558e+02,3.753e+03,1.358e+03,5.567e+03
156.6,4.444e+02,3.330e+03,1.135e+03,4.909e+03
158.1,4.373e+02,2.684e+03,8.648e+02,3.986e+03
159.7,3.954e+02,1.950e+03,6.306e+02,2.976e+03
161.2,3.413e+02,1.391e+03,5.039e+02,2.236e+03
162.7,3.137e+02,1.054e+03,4.222e+02,1.790e+03
164.3,2.600e+02,8.468e+02,3.107e+02,1.418e+03
165.8,1.823e+02,8.795e+02,2.189e+02,1.281e+03
167.3,1.480e+02,1.087e+03,2.316e+02,1.466e+03
168.9,1.439e+02,1.298e+03,2.880e+02,1.730e+03
170.4,1.640e+02,1.627e+03,3.473e+02,2.138e+03
171.9,2.001e+02,1.797e+03,4.014e+02,2.398e+03
173.5,2.493e+02,1.740e+03,3.988e+02,2.388e+03
175.0,2.481e+02,1.314e+03,3.496e+02,1.912e+03
176.5,2.489e+02,1.098e+03,3.549e+02,1.702e+03
178.1,2.395e+02,1.061e+03,3.973e+02,1.697e+03
179.6,2.568e+02,1.050e+03,4.658e+02,1.772e+03
181.1,2.980e+02,9.357e+02,4.795e+02,1.713e+03
182.7,2.905e+02,1.024e+03,4.733e+02,1.788e+03
184.2,2.434e+02,1.150e+03,4.444e+02,1.838e+03
185.7,2.133e+02,1.329e+03,4.444e+02,1.987e+03
187.3,1.978e+02,1.628e+03,4.241e+02,2.250e+03
188.8,1.778e+02,1.738e+03,3.878e+02,2.304e+03
190.4,1.642e+02,1.684e+03,3.527e+02,2.200e+03
191.9,1.702e+02,1.851e+03,3.258e+02,2.347e+03
193.4,1.744e+02,2.225e+03,3.099e+02,2.709e+03
195.0,2.193e+02,2.288e+03,3.024e+02,2.810e+03
196.5,2.638e+02,2.258e+03,3.122e+02,2.834e+03
198.0,3.065e+02,2.237e+03,3.617e+02,2.905e+03
199.6,3.783e+02,2.321e+03,4.678e+02,3.167e+03
